,Section 0,Section 1,Section 2,Section 3,Section 4,Section 5,Section 6,Section 7,Section 8,Section 9,Section 10,Section 11,Section 12,Section 13,Section 14,Section 15,Section 16
TA 0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
TA 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TA 2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
TA 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
TA 4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
TA 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TA 6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
TA 7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
TA 8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TA 9,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
TA 10,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
TA 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
TA 12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TA 13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
TA 14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
TA 15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
TA 16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
TA 17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
TA 18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TA 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TA 20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
TA 21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
TA 22,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
TA 23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
TA 24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
TA 24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TA 25,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TA 26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
TA 27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
TA 28,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
TA 29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
TA 30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
TA 31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TA 32,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TA 33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TA 34,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
TA 35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TA 36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TA 37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TA 38,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
TA 39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TA 40,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
TA 41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TA 42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
